ESTANTE,CATEGORIA,DESCRIPCION,MODELO,CANTIDAD,ESTADO,CONDICION,OBSERVACIONES
A2,Circuito Integrado,6-Pin DIP Random-Phase Optoisolators Triac Driver Output,MOC3031,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,,33240,2,DISPONIBLE,BUENO,
A2,Circuito Integrado,DEVICE SPECIFICATION FOR PHOTOCOUPLER,PC900,8,DISPONIBLE,BUENO,
A2,Circuito Integrado,,453-839,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,Compatible Real Time Clock with CMOS Technology,MM58274,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,Real time clock module(4-bit I/O CONNECTION REAL TIME CLOCK MODULE),RTC58321,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,,RTC58274,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,"IRED & PHOTO IC (Current Loop Driver, Low Input Currrent Line Receiver, COMS Logic Interface)",6N138,20,DISPONIBLE,BUENO,
A2,Circuito Integrado,Display de 7 segmentos,DiaplY 7 SEG,46,DISPONIBLE,BUENO,
A2,Circuito Integrado,PHOTO SCR OPTOCOUPLERS,HIIC3,37,DISPONIBLE,BUENO,
A2,Circuito Integrado,Convertidor de modulo serial a Ethernet,Wiznet 11OS,23,DISPONIBLE,BUENO,
A2,Circuito Integrado,With SPI 1.8 to 5.5 V,JTAG-USB,6,DISPONIBLE,BUENO,
A2,Periférico,Alimentacion Wiznet,,19,DISPONIBLE,BUENO,
A2,Periférico,Display LCD,,13,DISPONIBLE,BUENO,Módulo PMOD CLP
A2,Periférico,Pmod MicroSD,,6,DISPONIBLE,BUENO,Modulo para memoria SD 
A2,Periférico,Memoria 8GB  MicroSD,,6,DISPONIBLE,BUENO,
A2,Periférico,Sensor de luz de ambiente,Pmod ALS,4,DISPONIBLE,BUENO,
A2,Periférico,Módulo PMOD AD1,,15,DISPONIBLE,BUENO,Transductor A/D; GPIO; AD7476A; placa prototipo
A2,Periférico,Módulo PMOD I^2 S,,10,DISPONIBLE,BUENO,Stereo 24-bit D/A converter
A2,Periférico,Módulo PMOD DA2,,13,DISPONIBLE,BUENO,Módulo convertidor digital a analógico de 12 bits y 2 canales
A2,Periférico,Cables modulos Pmod1,,17,DISPONIBLE,BUENO,Cables de interconexión de modulos Pmod
A2,Periférico,Cables modulos Pmod,,14,DISPONIBLE,BUENO,Cables de interconexión de modulos Pmod
A2,Componente Activo,Transformador convencional,,8,DISPONIBLE,BUENO,"Transformadores 7,5v - 1A"
A2,Circuito Integrado,Modulos CMOD C2,,36,DISPONIBLE,BUENO,"CPLD Xilinx, un puerto de programación JTAG y circuitos de fuente de alimentación en un paquete DIP de 40 pines y 600 mil."
A2,Circuito Integrado,Made for prototyping,Feather,8,DISPONIBLE,BUENO,
A2,Otros,Cables BNC K1-111,BNC,28,DISPONIBLE,BUENO,9 Bolsas
A2,Circuito Integrado,IC OpAmp Instr 1.3 MHz,INA128PA,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,Asynchronous Serial Controller,8251,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,Op Amp High Speed,AD8475N,20,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Amp Inst Lp,AD622ANZ,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Reg 1.5A Neg Adj,LM 337 TF5-NO,11,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Op-Amp Dual Cmos,LMC 6482 IN/NOPB,6,DISPONIBLE,BUENO,
A2,Circuito Integrado,Precision 10 Mhz Opamp,AD845KN,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic 150L Amp 2-Port 2 Khz,AD202JY,2,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Analog Multiplier 8-Dip,AD6202AKNZ,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Logarithmic Amp,AD8310ARMZ,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Driver High/Low Side,IR2101PBF,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,12-Bit Ultra High Speed Digital/Analog Converter,AD668JQ,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Amp Inst R-R Lp 8-Dip,AD623ANZ,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Converter F To V,LM2907N-8/NOPB,1,DISPONIBLE,BUENO,
A2,Circuito Integrado,Asynchronous Communication Element,UM8250,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Multiplexer Dual 4X1 16 Dip,ADG 609 BNZ,6,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Multiplexer Dual 4X1 16 Dip,AD633ANZ,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Opamp Gp 8Mhz,OP27GPZ,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Opamp Gp 63Mhz Ln Prec 8-Dip,OP37GPZ,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Amp Audio Pwr 20W,TDA20025R,7,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Osc Timer Dual 14-Dip,LM556CN/NOPB,5,DISPONIBLE,BUENO,
A2,Circuito Integrado,Transconductance Amplifiers Dual Op Amp,LM13700N/NOPB,6,DISPONIBLE,BUENO,
A2,Circuito Integrado,High-Voltage / High-Current Operational Amplifier,OPA544T59,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Ic Op-Amp Low Noise Single,LT1128CN8,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Dual Operational Amplifier,HA17358,5,DISPONIBLE,BUENO,
A2,Circuito Integrado,Operational Amplifier,OPA2350,17,DISPONIBLE,BUENO,
